Protein.IDs	LFQ.intensity.ATG9_0	LFQ.intensity.ATG9_1	LFQ.intensity.ATG9_4	LFQ.intensity.WT_0	LFQ.intensity.WT_1	LFQ.intensity.WT_4
Q06508	25.5873086780	25.3824138841	24.9158828876	25.6314384934	25.1989715997	25.2758257479
Q06510	24.8437754511	25.1839848977	25.3415709916	24.7096368056	25.6952483943	26.5578663472
Q06511	25.5819229614	25.3547854215	25.1311619112	25.2043445683	25.7752354923	25.1195212411
Q06512	26.5859831066	25.9669695525	25.7895654179	26.0862237950	25.7201256190	26.0595468053
Q06522	24.9929125630	24.6249307664	23.4857253541	25.1190555837	24.1926302417	24.3301098828
Q06523	29.0531321508	29.2914948809	29.5167460183	29.3895459900	29.1579460829	29.7465645428
Q06525	23.5042981100	23.5995333526	23.8857360551	23.2244980565	22.9355490585	23.4310634113
Q06538	24.8178748999	25.4093137620	25.5520924872	24.6149821941	24.8110246545	24.3227112676
Q06543	26.5671863985	26.2637141814	26.5217975756	25.7233083450	25.9903568556	25.5285671612
Q06549	25.8522841547	26.2811459563	26.2502419620	26.0402027744	26.4222786079	26.2812082149
Q06554	24.9399937014	24.8446224505	24.3115478677	24.3593916823	25.6554944469	22.5409360548
Q06580	25.8184279038	25.7433220090	25.4853347991	26.0818978696	25.3820073001	25.8949499289
Q06604	28.5653000516	28.5109698099	28.2103070944	28.4800387540	28.0622204618	28.1746204395
Q06608	26.6138595492	26.7305429816	26.8321953437	26.3815798713	27.3518851739	27.0887516779
Q06616	23.3338880435	23.3440595654	23.4964721742	22.7210132116	22.9882637049	23.1875587495
Q06623	24.7419255778	24.3152184101	24.4672883486	24.1216872509	23.8479527237	24.0670932271
Q06624	26.8796786975	26.8619206601	26.7579025218	27.1443405671	26.9732614487	27.0989122894
Q06625	27.5244001564	28.7388410318	28.3740736108	27.3598789290	29.5185201491	28.8931447630
Q06628	24.4423806428	25.1861225984	25.3189209921	24.7914238374	24.1512892760	24.9846263670
Q06629	24.7662130201	24.8418455027	25.2818278095	24.5235658522	25.0710034161	25.1390246647
Q06630	28.4698878701	28.6275500736	28.7127023210	28.5145604720	29.1737171846	28.4764709192
Q06631	28.3470771565	27.7380464868	28.1173946108	28.7665329435	27.9737658386	28.1883652390
Q06632	25.7460802190	25.8028648795	25.9643301833	26.2426030953	25.9528943949	25.8420198959
Q06636	25.6757223795	26.1857147364	26.6728628645	25.9385598271	25.6731681327	25.9677230002
Q06639	27.6266777164	27.5480387481	27.8545831475	27.3704936328	27.4023001195	28.1880182527
Q06644	24.6031212559	24.6484958806	24.1954976298	24.8233755876	25.7098548022	24.9913028051
Q06651	26.0101019109	26.0842035728	26.0515271241	26.1703480268	25.3631243806	25.1726175306
Q06668	24.6971296909	24.9507843566	24.9225556588	24.7337685900	25.3934131273	25.3884553405
Q06672	26.4775317832	26.4587892489	25.7564601216	26.2941439496	24.8511738540	24.5208099578
Q06673	23.1538132373	23.7503524310	23.5341219597	23.2442085477	23.2747491244	23.3027482891
Q06677	26.2477410893	26.1326133551	25.9677323104	26.0010130345	25.6307843684	26.1114714224
Q06678	27.4917636139	28.0896692102	27.6591439530	28.5907111570	28.6021661760	27.9238034685
Q06679	27.7828846228	27.2950781544	26.9833476661	27.8922647354	27.2153298559	27.4866672980
Q06680	24.3507136418	23.9801556272	24.2376326188	24.3609275422	24.2522386304	24.3010183860
Q06681	25.3368845607	23.5438773068	23.4411885442	24.4546461409	24.3559769451	23.6804888167
Q06682	26.6422491078	26.6553856220	26.5193051900	26.3950950165	25.8588189743	27.0246841015
Q06685	29.4330549989	29.8131022280	29.6964479021	29.4442531890	29.2509537656	29.0944493760
Q06688	24.4478516647	23.9959894167	23.6077323451	23.8924043074	23.5945415538	22.8394820666
